insidious,狡猾な、陰険な、油断できない
insolent,横柄な、無礼な ((to, towards)).
installation,就任(式); 任命; 設置、架設; 設備; 【コンピュータ】インストレーション; 【軍】基地
intact,手をつけない、完全な
integrity,正直、清廉潔白、剛毅(き); 完全、全一性; 【コンピュータ】完全性、整合性; 元のまま(の状態).
intercede,仲裁する、とりなす ((for, on behalf of)).
intercepter,横取りするもの、障害物
interior,内部; 室内; 奥地; (the ～) 内政、内務; (the ～) 内心、本性
interlude,幕間(あい)、合間; 合間になされる物事; 幕間劇［演芸］; 【楽】間奏曲
intertwine,絡み合う、もつれさせる、もつれる
intimidate,おどす、脅迫する、脅して…させる ((into)).
intractable,手におえない、厄介な
intransigence,非妥協的態度
intravenous,静脈の、静脈注射の
invariable,変化しない; 【数】定数の
invigorate,活気づける、鼓舞する
irksome,煩わしい、うんざりさせる
irrelevant,不適切な; 無関係な ((to)); 今日の問題と関係ない、役に立たない
it stands to reason that,～は当然である
jar,つぼ［かめ］(1杯の量).
jargon,特殊用語、通語
jerk,ぐいっと動かす
jolt,がたがたする、(馬車などが)がたごと進む.
juvenile,若い; 子供らしい、未熟な; 少年［少女］(向き)の.
keep a straight face,笑いをこらえる
keeping an eye on,見張る、監視する
kerosene,灯油
kit,道具一式、道具箱［袋］; 服装; 【軍】装具; 旅行用具; 背嚢(のう); 【ラジオ・模型など】組立部品一式; 【コンピュータ】ハードウェア
klptomania,病的盗癖[者]
know better than to,～するほど愚かではない
knuckle,屈服する、降伏する
lade,(荷を)積む (load); 負わせる ((with)); (ひしゃくで)くみ出す.
laissez-faire,自由放任の
lambaste,酷評する、こきおろす
largesse,気前のよさ
laudable,称賛すべき
lava,溶岩
laxness,ゆるんでいること
leak,漏れ(口、穴)、漏出量; (秘密)漏洩(ろうえい); 【電気】漏電; 〔俗〕 放尿.
lieutenant,側近、警部補
linguistic,言語上の; 言語学の.
litigation,訴訟
longevity,長寿、長命
lore,(特定分野の)知識、学問; (民間)伝承.
lousy,卑劣な、みじめな
lubricant,滑らかにする; 潤滑油［剤］; 円滑にするもの
luster,(落着いた)光沢; 光彩; 輝き; ガラス製装飾品; 名声、栄光; (光沢のある)織物の一種.
make allowance for,考慮にいれる
make up to,～に取り入れる
maladroit,不器用な、不手際な
malady,病; 病弊
malaise,不調、不安、不快感
malicious,悪意ある、腹黒い; 【法】犯意のある
malignant,有害な; 【医】悪性の; 悪意のある; 【英史】(M-) Charles I時代の王党員.
mandatory,殉教者
martyr,戦争の、軍人の
maudlin,泣き上戸
maxim,格言
meadow,牧草地
meager,やせた、貧弱な
meager,やせた; 不十分な; 貧弱な; 無味乾燥な
melee,殴り合い、乱闘
mendacious,虚偽の、嘘をつく
mendicant,乞食
menial,召使、召使の
mercenary,金銭目当ての、傭兵
mercenary,金銭目当てに働く(人); 雇いの; 傭兵(ようへい).
mercurial,陽気な、活発な、移り気な
merge,没入させる［する］ ((into)); 合併する ((in, with; into)); 溶け込む
mesa,(頂上が平らな)岩山、メサ
mete,計る、割り当てる
meticulous,小心な、細心の、細部まで正確な
mettle,気質、気性、勇気
microminiature,超小型の
mien,態度、風采
minatory,脅迫の
mire,泥; ぬかるみ; 泥沼; (the ～) 窮地.
mirth,愉快、陽気、はしゃぎ
miscreant,極悪非道な
mitigate,和らげる; 【法】緩和［軽減］する (mitigating circumstances 情状酌量).
mobility,可［機］動性; 敏感性
momentous,重大［要］な
momentum,【力】運動量; 惰性; はずみ、勢い
monetary,貨幣の、金銭上の
morass,泥沼、苦境
moribund,絶滅寸前な
mortality,死を免れないこと; 死すべき運命; 死亡数［率］.
mortify,屈辱を与える
motivate,動機を与える、学習意欲を高める、動かす、そそのかす
mule,麻薬の運び屋
murmur,つぶやく、不平を言う
muster,(点呼などのために)召集する、(勇気を)奮い起す ((up)).
mutiny,反抗、反乱、暴動
mutter,ぶつぶつ言う
nonentity,取るに足らない人[物]
ogle,色目を使う
on no account,決して～ない
oncogene,発ガン遺伝子
osteoporosis,骨粗しょう症
out and away,はるかに、比較にならないほど
outlay,支出、経費
outstrip,追い越す、上回る
outweigh,～より重要である、まさる
overture,提案、序章、序曲
palatable,快い、味のよい、趣味にあう
pall,暗雲、暗影
paltry,取るに足りない、けちな
pamper,甘やかす
pandemonium,修羅場、混沌
panoply,防御物、覆い
paragon,模範、典型、かがみ
pariah,のけ者
passed out,気絶する
passed the time of day,～と楽しくおしゃべりをする
perish,死ぬ
perquisite,役得、特典
perusal,熟読、通読
plethora,過剰、過多
plush,豪華な、ぜいたくな
plutocracy,金権政治
posture,姿勢、状況、態度
predict,予言する
preeminence,傑出、優位
pristine,原始のままの、純粋な
probity,正直、誠実
prod,刺激する
profitable,有益な
prognosis,予後、予想
protract,長引かせる、延長する
province,州、省、県
purport,称する、意味する、意図する
quandary,困惑、苦境、板ばさみ
quantum,画期的な、飛躍的な
quell,鎮圧する、抑える
quibble,屁理屈、あら探し
quiescent,静かな、不活発な
quintessence,本質、真髄、典型
quip,皮肉をいう、からかう
quirky,ずるい、気まぐれな
quixotic,非現実的な
quorum,定員
raft,多数、多量
rancid,悪臭を放つ
rancor,恨み、悪意
rattle,ガタガタと音を立てる、混乱させる
rebuke,強く非難する
reeked of,臭い
refute,反論する、論破する
regimen,摂生、養生法
relish,楽しむ、好む
remnant,残り、残骸、名残
renitent,頑固に反抗する、手に負えない
repository,貯蔵所
reprise,反復
repudiate,退ける、否認する、拒絶する
reticent,控えめな
retrench,削減する
reverie,空想、幻想
revile,ののしる
revolt,反乱、暴動
revulsion,嫌悪、憎悪
rickety,がたのきた、壊れそうな
riddance,厄介払い
rigor,厳しさ
roast,酷評する、こきおろす
rostrum,演壇
rout,敗走
rumble,ガラガラ音を立てて進む
run amok,暴れまわる、怒り狂う
ruse,計略、策略
see about,～になるように手を打つ
spoils,無気力な
squabble,慰め
stakeout,眠気を催させる
stalemate,少し
stanch,悪化する
startle,亡霊、恐ろしいもの
staunch,利権、役得
stench,口論
stifle,張り込み
stodgy,行き詰まり
stolid,歯止めをかける
streak,信頼できる、しっかりした
stricture,悪臭
strident,鎮圧する、抑圧する、妨げる
strive,古臭い、退屈な、野暮ったい
stroll,鈍感な
stymie,緊張、重圧
suave,傾向、気味、連続
subterfuge,不快な、耳障りな
subterranean,努力する、奮闘する
succumb,ぶらつく、散歩する
supple,妨害する、挫折させる
surreal,優しい、上品な、甘い
swagger,クモ膜下出血
swerve,地下の
swill,口実、ごまかし
swirl,柔軟な、順応性のある
synthesis,超現実的な
syphilis,いばって歩く、尊大に振舞う
tacit,それる、逸脱する
tack,がぶがぶ飲む、がつがつ食う
tacky,だまし取る
take issue with,意見に異議をとなえる
tally,渦巻く
tarnished,総合
taste like,～と同じ味がする
taunt,[名誉など]汚れた、変色した、錆びた
tawdry,あざける、なじる
tedium,けばけばしい、安っぽい
teem,退屈
tempest,あふれている、富む
terrain,大騒ぎ、大混乱、動乱
thicket,地形、地勢、領域
thoroughfare,もつれ
throne,大通り
thrust,王位
thwart,突き出す、押し付ける
tiresome,邪魔をする、挫折させる
to be sure,確かに
to my knowledge,私の知る限りでは
toil,うんざりする、厄介な
tony,骨折る、苦労
torrent,粋な、しゃれた
totter,奔流、連発、続出
tout,よろめく、ぐらつく
treadmill,売り込む、宣伝する、ほめちぎる
trickle,単調な仕事、単調な繰り返し
trounce,少数、少量
ulcer,打ち負かす
umbrage,立腹
unflinching,断固たる、ひるまない
unintelligible,理解できない
unstable,不安定な; 変りやすい; 【化】(化合物が)分解しやすい
unstinting,惜しみない
unsuitable,不適当な、不似合いの ((for, to)).
untidy,きちんとしない、乱雑な.
unvarnished,飾らない、率直な
unwilling,気が進まない、いやいやながらの; …する気がない ((to do)).
up and around,(元気になって)歩きまわっている
up in the air,未決定で
upset,(～; -tt-) ひっくり返す; (計画などを)だめにする; 気を転倒させる; (胃など)体をこわす; 打負かす
usher,(教会・劇場などの)案内係; 門衛、受付; 廷吏; 〔古〕 助教師.
valid,(根拠の)確実な正当な; 妥当な;
vandal,心なき破壊者
vanquish,打ち負かす、克服する
vehement,熱情的な、熱烈な; 激しい
vendetta,血の復讐、敵討ち
venereal disease,性病
vengeance,復讐、仕返し、敵討ち
vengeance,復讐(ふくしゅう)、仕返し
verge,端、縁; 〔英〕 道路わきの草地; (花壇などの)へり取り; (the ～) 間際、境界、限界; 権杖.
vernacular,自国語; 地方語, お国ことば; (職業上の)専門語; (動植物の)俗名.
vertical,垂直の (horizontalの対); 直立した, 縦の; 【数】頂点の; 【天文】天頂の; 【解】頭頂の; 【経済】(生産・販売の全過程で)縦に連ねた.
vessel,容器、入れ物; (大型の)船; 航空機; 【解・生物】導管、脈管; 【聖】(神の怒りや恵みを受ける器としての)人 (～s of wrath 神の怒りを受くべき人々; the weaker ～ 女性).
vestige,痕跡、跡
vibrant,刺激的な、活気のある
vicinity,近所、近辺; 近接 ((of, to)).
vie,競う
vile,けなす、中傷する
vilify,不快な、堕落した、下劣な、卑劣な
virility,男らしさ
virtual,事実上の、実質上の; 【コンピュータ】仮想の.
